OfficeID,OfficeName,LanguageID,LanguageName,BookmarkName,Translation,OfficeElement
21,Shanghai,1,English (UK),PartnerListDescLabel,Chief Representative: Ji Zou,PartnerListDescLabel
23,Tokyo,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
25,Hong Kong - Admin,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
26,Warsaw - Admin,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
26,Warsaw - Admin,5,Polish,PartnerListDescLabel,,PartnerListDescLabel
27,Warsaw - Law,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
27,Warsaw - Law,5,Polish,PartnerListDescLabel,,PartnerListDescLabel
28,Hamburg,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
28,Hamburg,6,German,PartnerListDescLabel,,PartnerListDescLabel
29,Rome,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
29,Rome,4,Italian,PartnerListDescLabel,,PartnerListDescLabel
30,Bangkok,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
33,Singapore - ASSPL,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
34,Düsseldorf,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
34,Düsseldorf,6,German,PartnerListDescLabel,,PartnerListDescLabel
